[2023-08-21 18:59:10.307] Log file generated
[2023-08-21 18:59:10.409] send 4160 to server
[2023-08-21 18:59:10.409] send 4160 to server
[2023-08-21 18:59:10.409] send 4158 to server
[2023-08-21 18:59:10.409] send 4159 to server
[2023-08-21 18:59:10.410] send 4159 to server
[2023-08-21 18:59:10.410] send 4162 to server
[2023-08-21 18:59:10.410] send 4161 to server
[2023-08-21 18:59:10.510] send 4163 to server
[2023-08-21 18:59:10.511] send 4162 to server
[2023-08-21 18:59:10.511] send 4162 to server
[2023-08-21 18:59:10.511] send 4161 to server
[2023-08-21 18:59:10.511] send 4160 to server
[2023-08-21 18:59:10.511] send 4160 to server
[2023-08-21 18:59:10.512] send 4162 to server
[2023-08-21 18:59:10.612] send 4161 to server
[2023-08-21 18:59:10.612] send 4160 to server
[2023-08-21 18:59:10.613] send 4159 to server
[2023-08-21 18:59:10.613] send 4160 to server
[2023-08-21 18:59:10.613] send 4159 to server
[2023-08-21 18:59:10.714] send 4157 to server
[2023-08-21 18:59:10.714] send 4159 to server
[2023-08-21 18:59:10.714] send 4158 to server
[2023-08-21 18:59:10.714] send 4160 to server
[2023-08-21 18:59:10.714] send 4160 to server
[2023-08-21 18:59:10.714] send 4161 to server
[2023-08-21 18:59:10.815] send 4160 to server
[2023-08-21 18:59:10.815] send 4159 to server
[2023-08-21 18:59:10.815] send 4159 to server
[2023-08-21 18:59:10.816] send 4158 to server
[2023-08-21 18:59:10.816] send 4160 to server
[2023-08-21 18:59:10.917] send 4159 to server
[2023-08-21 18:59:10.917] send 4160 to server
[2023-08-21 18:59:10.917] send 4160 to server
[2023-08-21 18:59:10.918] send 4159 to server
[2023-08-21 18:59:11.018] send 4160 to server
[2023-08-21 18:59:11.019] send 4160 to server
[2023-08-21 18:59:11.019] send 4161 to server
[2023-08-21 18:59:11.019] send 4160 to server
[2023-08-21 18:59:11.020] send 4161 to server
[2023-08-21 18:59:11.120] send 4160 to server
[2023-08-21 18:59:11.121] send 4159 to server
[2023-08-21 18:59:11.121] send 4160 to server
[2023-08-21 18:59:11.121] send 4160 to server
[2023-08-21 18:59:11.122] send 4159 to server
[2023-08-21 18:59:11.122] send 4158 to server
[2023-08-21 18:59:11.122] send 4157 to server
[2023-08-21 18:59:11.223] send 4158 to server
[2023-08-21 18:59:11.223] send 4160 to server
[2023-08-21 18:59:11.223] send 4160 to server
[2023-08-21 18:59:11.224] send 4160 to server
[2023-08-21 18:59:11.224] send 4160 to server
[2023-08-21 18:59:11.224] send 4161 to server
[2023-08-21 18:59:11.325] send 4162 to server
[2023-08-21 18:59:11.325] send 4160 to server
[2023-08-21 18:59:11.326] send 4161 to server
[2023-08-21 18:59:11.326] send 4159 to server
[2023-08-21 18:59:11.427] send 4160 to server
[2023-08-21 18:59:11.427] send 4159 to server
